Date,Year,Month,Value
9/29/2011,2011,29-Sep,0.00
10/1/2011,2011,1-Oct,0.00
10/9/2011,2011,9-Oct,0.00
10/17/2011,2011,17-Oct,0.00
10/22/2011,2011,22-Oct,0.00
10/27/2011,2011,27-Oct,0.00
4/9/2010,2010,9-Apr,0.00
4/16/2010,2010,16-Apr,0.00
5/6/2010,2010,6-May,0.00
5/7/2010,2010,7-May,0.00
5/12/2010,2010,12-May,0.00
5/13/2010,2010,13-May,0.00
5/16/2010,2010,16-May,0.00
5/21/2010,2010,21-May,0.00
5/23/2010,2010,23-May,0.00
5/27/2010,2010,27-May,0.00
5/29/2010,2010,29-May,0.00
5/30/2010,2010,30-May,0.00
6/1/2010,2010,1-Jun,0.00
6/2/2010,2010,2-Jun,0.00
6/3/2010,2010,3-Jun,70
6/4/2010,2010,4-Jun,0.00
6/9/2010,2010,9-Jun,66
6/10/2010,2010,10-Jun,0.00
6/14/2010,2010,14-Jun,0.00
6/16/2010,2010,16-Jun,0.00
6/18/2010,2010,18-Jun,0.00
6/19/2010,2010,19-Jun,0.00
6/21/2010,2010,21-Jun,68
6/23/2010,2010,23-Jun,0.00
6/24/2010,2010,24-Jun,0.00
6/29/2010,2010,29-Jun,0.00
6/30/2010,2010,30-Jun,0.00
7/1/2010,2010,1-Jul,0.00
7/6/2010,2010,6-Jul,0.00
7/7/2010,2010,7-Jul,0.00
7/13/2010,2010,13-Jul,81
7/14/2010,2010,14-Jul,0.00
7/16/2010,2010,16-Jul,0.00
7/18/2010,2010,18-Jul,0.00
7/21/2010,2010,21-Jul,0.00
7/23/2010,2010,23-Jul,0.00
7/25/2010,2010,25-Jul,0.00
7/26/2010,2010,26-Jul,75
7/29/2010,2010,29-Jul,0.00
7/30/2010,2010,30-Jul,0.00
8/2/2010,2010,2-Aug,0.00
8/5/2010,2010,5-Aug,0.00
8/7/2010,2010,7-Aug,0.00
8/9/2010,2010,9-Aug,0.00
8/10/2010,2010,10-Aug,76
8/11/2010,2010,11-Aug,0.00
8/15/2010,2010,15-Aug,0.00
8/18/2010,2010,18-Aug,0.00
8/19/2010,2010,19-Aug,0.00
8/23/2010,2010,23-Aug,0.00
8/24/2010,2010,24-Aug,0.00
8/25/2010,2010,25-Aug,72
8/31/2010,2010,31-Aug,0.00
9/1/2010,2010,1-Sep,0.00
9/2/2010,2010,2-Sep,0.00
9/4/2010,2010,4-Sep,0.00
9/7/2010,2010,7-Sep,71
9/8/2010,2010,8-Sep,0.00
9/12/2010,2010,12-Sep,0.00
9/13/2010,2010,13-Sep,0.00
9/17/2010,2010,17-Sep,0.00
9/22/2010,2010,22-Sep,0.00
9/24/2010,2010,24-Sep,0.00
9/29/2010,2010,29-Sep,0.00
10/1/2010,2010,1-Oct,0.00
10/9/2010,2010,9-Oct,0.00
10/17/2010,2010,17-Oct,0.00
10/22/2010,2010,22-Oct,0.00
10/27/2010,2010,27-Oct,0.00
4/9/2009,2009,9-Apr,0.00
4/16/2009,2009,16-Apr,0.00
5/6/2009,2009,6-May,0.00
5/7/2009,2009,7-May,0.00
5/12/2009,2009,12-May,0.00
5/13/2009,2009,13-May,0.00
5/16/2009,2009,16-May,0.00
5/21/2009,2009,21-May,0.00
5/23/2009,2009,23-May,0.00
5/27/2009,2009,27-May,0.00
5/29/2009,2009,29-May,0.00
5/30/2009,2009,30-May,0.00
6/1/2009,2009,1-Jun,0.00
6/2/2009,2009,2-Jun,0.00
6/3/2009,2009,3-Jun,0.00
6/4/2009,2009,4-Jun,68
6/9/2009,2009,9-Jun,0.00
6/10/2009,2009,10-Jun,65
6/14/2009,2009,14-Jun,0.00
6/16/2009,2009,16-Jun,63
6/18/2009,2009,18-Jun,0.00
6/19/2009,2009,19-Jun,0.00
6/21/2009,2009,21-Jun,0.00
6/23/2009,2009,23-Jun,68
6/24/2009,2009,24-Jun,0.00
6/29/2009,2009,29-Jun,0.00
6/30/2009,2009,30-Jun,0.00
7/1/2009,2009,1-Jul,0.00
7/6/2009,2009,6-Jul,0.00
7/7/2009,2009,7-Jul,69
7/13/2009,2009,13-Jul,0.00
7/14/2009,2009,14-Jul,0.00
7/16/2009,2009,16-Jul,0.00
7/18/2009,2009,18-Jul,0.00
7/21/2009,2009,21-Jul,70
7/23/2009,2009,23-Jul,0.00
7/25/2009,2009,25-Jul,0.00
7/26/2009,2009,26-Jul,0.00
7/29/2009,2009,29-Jul,0.00
7/30/2009,2009,30-Jul,76
8/2/2009,2009,2-Aug,0.00
8/5/2009,2009,5-Aug,68
8/7/2009,2009,7-Aug,0.00
8/9/2009,2009,9-Aug,0.00
8/10/2009,2009,10-Aug,0.00
8/11/2009,2009,11-Aug,74
8/15/2009,2009,15-Aug,0.00
8/18/2009,2009,18-Aug,64
8/19/2009,2009,19-Aug,0.00
8/23/2009,2009,23-Aug,0.00
8/24/2009,2009,24-Aug,73
8/25/2009,2009,25-Aug,0.00
8/31/2009,2009,31-Aug,66
9/1/2009,2009,1-Sep,0.00
9/2/2009,2009,2-Sep,0.00
9/4/2009,2009,4-Sep,0.00
9/7/2009,2009,7-Sep,0.00
9/8/2009,2009,8-Sep,67
9/12/2009,2009,12-Sep,0.00
9/13/2009,2009,13-Sep,0.00
9/17/2009,2009,17-Sep,0.00
9/22/2009,2009,22-Sep,0.00
9/24/2009,2009,24-Sep,0.00
9/29/2009,2009,29-Sep,70
10/1/2009,2009,1-Oct,0.00
10/9/2009,2009,9-Oct,0.00
10/17/2009,2009,17-Oct,0.00
10/22/2009,2009,22-Oct,71
10/27/2009,2009,27-Oct,72
4/9/2008,2008,9-Apr,0.00
4/16/2008,2008,16-Apr,0.00
5/6/2008,2008,6-May,0.00
5/7/2008,2008,7-May,0.00
5/12/2008,2008,12-May,0.00
5/13/2008,2008,13-May,0.00
5/16/2008,2008,16-May,0.00
5/21/2008,2008,21-May,0.00
5/23/2008,2008,23-May,0.00
5/27/2008,2008,27-May,0.00
5/29/2008,2008,29-May,0.00
5/30/2008,2008,30-May,0.00
6/1/2008,2008,1-Jun,0.00
6/2/2008,2008,2-Jun,0.00
6/3/2008,2008,3-Jun,81
6/4/2008,2008,4-Jun,0.00
6/9/2008,2008,9-Jun,0.00
6/10/2008,2008,10-Jun,0.00
6/14/2008,2008,14-Jun,0.00
6/16/2008,2008,16-Jun,0.00
6/18/2008,2008,18-Jun,0.00
6/19/2008,2008,19-Jun,0.00
6/21/2008,2008,21-Jun,0.00
6/23/2008,2008,23-Jun,0.00
6/24/2008,2008,24-Jun,0.00
6/29/2008,2008,29-Jun,0.00
6/30/2008,2008,30-Jun,0.00
7/1/2008,2008,1-Jul,0.00
7/6/2008,2008,6-Jul,84
7/7/2008,2008,7-Jul,0.00
7/13/2008,2008,13-Jul,0.00
7/14/2008,2008,14-Jul,0.00
7/16/2008,2008,16-Jul,0.00
7/18/2008,2008,18-Jul,0.00
7/21/2008,2008,21-Jul,0.00
7/23/2008,2008,23-Jul,0.00
7/25/2008,2008,25-Jul,90
7/26/2008,2008,26-Jul,0.00
7/29/2008,2008,29-Jul,0.00
7/30/2008,2008,30-Jul,0.00
8/2/2008,2008,2-Aug,0.00
8/5/2008,2008,5-Aug,0.00
8/7/2008,2008,7-Aug,0.00
8/9/2008,2008,9-Aug,0.00
8/10/2008,2008,10-Aug,0.00
8/11/2008,2008,11-Aug,0.00
8/15/2008,2008,15-Aug,0.00
8/18/2008,2008,18-Aug,0.00
8/19/2008,2008,19-Aug,0.00
8/23/2008,2008,23-Aug,0.00
8/24/2008,2008,24-Aug,0.00
8/25/2008,2008,25-Aug,0.00
8/31/2008,2008,31-Aug,0.00
9/1/2008,2008,1-Sep,0.00
9/2/2008,2008,2-Sep,0.00
9/4/2008,2008,4-Sep,0.00
9/7/2008,2008,7-Sep,0.00
9/8/2008,2008,8-Sep,0.00
9/12/2008,2008,12-Sep,0.00
9/13/2008,2008,13-Sep,0.00
9/17/2008,2008,17-Sep,0.00
9/22/2008,2008,22-Sep,0.00
9/24/2008,2008,24-Sep,0.00
9/29/2008,2008,29-Sep,0.00
10/1/2008,2008,1-Oct,0.00
10/9/2008,2008,9-Oct,0.00
10/17/2008,2008,17-Oct,0.00
10/22/2008,2008,22-Oct,0.00
10/27/2008,2008,27-Oct,0.00
4/9/2007,2007,9-Apr,0.00
4/16/2007,2007,16-Apr,0.00
5/6/2007,2007,6-May,0.00
5/7/2007,2007,7-May,0.00
5/12/2007,2007,12-May,0.00
5/13/2007,2007,13-May,0.00
5/16/2007,2007,16-May,0.00
5/21/2007,2007,21-May,0.00
5/23/2007,2007,23-May,83
5/27/2007,2007,27-May,0.00
5/29/2007,2007,29-May,0.00
5/30/2007,2007,30-May,0.00
6/1/2007,2007,1-Jun,0.00
6/2/2007,2007,2-Jun,0.00
6/3/2007,2007,3-Jun,0.00
6/4/2007,2007,4-Jun,0.00
6/9/2007,2007,9-Jun,0.00
6/10/2007,2007,10-Jun,0.00
6/14/2007,2007,14-Jun,0.00
6/16/2007,2007,16-Jun,0.00
6/18/2007,2007,18-Jun,0.00
6/19/2007,2007,19-Jun,0.00
6/21/2007,2007,21-Jun,0.00
6/23/2007,2007,23-Jun,0.00
6/24/2007,2007,24-Jun,0.00
6/29/2007,2007,29-Jun,86
6/30/2007,2007,30-Jun,0.00
7/1/2007,2007,1-Jul,0.00
7/6/2007,2007,6-Jul,0.00
7/7/2007,2007,7-Jul,0.00
7/13/2007,2007,13-Jul,0.00
7/14/2007,2007,14-Jul,0.00
7/16/2007,2007,16-Jul,0.00
7/18/2007,2007,18-Jul,94
7/21/2007,2007,21-Jul,0.00
7/23/2007,2007,23-Jul,0.00
7/25/2007,2007,25-Jul,0.00
7/26/2007,2007,26-Jul,0.00
7/29/2007,2007,29-Jul,0.00
7/30/2007,2007,30-Jul,0.00
8/2/2007,2007,2-Aug,0.00
8/5/2007,2007,5-Aug,0.00
8/7/2007,2007,7-Aug,0.00
8/9/2007,2007,9-Aug,0.00
8/10/2007,2007,10-Aug,83
8/11/2007,2007,11-Aug,0.00
8/15/2007,2007,15-Aug,0.00
8/18/2007,2007,18-Aug,0.00
8/19/2007,2007,19-Aug,0.00
8/23/2007,2007,23-Aug,0.00
8/24/2007,2007,24-Aug,0.00
8/25/2007,2007,25-Aug,0.00
8/31/2007,2007,31-Aug,0.00
9/1/2007,2007,1-Sep,0.00
9/2/2007,2007,2-Sep,0.00
9/4/2007,2007,4-Sep,0.00
9/7/2007,2007,7-Sep,0.00
9/8/2007,2007,8-Sep,0.00
9/12/2007,2007,12-Sep,0.00
9/13/2007,2007,13-Sep,0.00
9/17/2007,2007,17-Sep,0.00
9/22/2007,2007,22-Sep,0.00
9/24/2007,2007,24-Sep,0.00
9/29/2007,2007,29-Sep,0.00
10/1/2007,2007,1-Oct,0.00
10/9/2007,2007,9-Oct,0.00
10/17/2007,2007,17-Oct,0.00
10/22/2007,2007,22-Oct,0.00
10/27/2007,2007,27-Oct,0.00
